Site_number,Site_name,Site_type,Lat,Long,Datum
10244320,"BUENA VISTA CK NR UNIONVILLE, NV",Stream,40.44851869,-118.1481965,NAD83
10244365,"HORSE CK NR DIXIE VLY, NV",Stream,39.53261667,-118.0186444,NAD83
10244370,"FREEMAN CK NR DIXIE VLY, NV",Stream,39.58905,-118.1875583,NAD83
10244390,"DIXIE VLY WASH AT SETTLEMENT RD AT DIXIE VLY, NV",Stream,39.67230556,-118.131111,NAD83
10244460,"RAWHIDE FLATS TRIB NR SCHURZ, NV",Stream,39.14436479,-118.74959,NAD83
10244490,"FINGER ROCK WASH NR GABBS, NV",Stream,38.6888125,-118.0176186,NAD83
10244620,"TEELS MARSH TRIB AT BASALT, NV",Stream,38.0018745,-118.280952,NAD83
10244660,"RHODES SALT MARSH TRIB NR CANDELARIA, NV",Stream,38.1546502,-118.2148411,NAD83
10249900,"CHIATOVICH CK NR DYER, NV",Stream,37.831975,-118.200461,NAD83
10265100,DEADMAN C A BIG SPRINGS NR CRESTVIEW CA,Stream,37.75027778,-118.9394444,NAD83
10265125,MAMMOTH C A TWIN LAKES NR MAMMOTH LAKES CA,Stream,37.623825,-119.0056889,NAD83
10265127,MAMMOTH C TRIB BL MILL CITY NR MAMMOTH LAKES CA,Stream,37.6225,-118.9930556,NAD83
10265128,MAMMOTH C A OLD MAMMOTH RD A MAMMOTH LAKES CA,Stream,37.635213,-118.965689,NAD83
10265130,MAMMOTH C A HWY 395 NR MAMMOTH LAKES CA,Stream,37.63771209,-118.9037433,NAD83
10265140,MAMMOTH C FLUME NR MAMMOTH LAKES CA,Stream,37.64048976,-118.90041,NAD83
10265143,HOT C AB HOT C FISH HATCHERY NR MAMMOTH LAKES CA,Stream,37.64354464,-118.8540202,NAD83
10265147,HOT C AB GORGE GEYSER NR MAMMOTH LAKES CA,Stream,37.65743307,-118.8326313,NAD83
10265150,HOT C A FLUME NR MAMMOTH LAKES CA,Stream,37.66881076,-118.8176148,NAD83
10265160,"LITTLE HOT C BL HOT SPR NR MAMMOTH LAKES, CA",Stream,37.6902105,-118.8429107,NAD83
10265200,CONVICT C NR MAMMOTH LAKES CA,Stream,37.6071562,-118.8487407,NAD83
10265360,HILTON C A LK CROWLEY CA,Stream,37.57937674,-118.7415163,NAD83
10265500,OWENS R NR ROUND VALLEY CA,Stream,37.44020879,-118.556508,NAD83
10265700,ROCK C A LITTLE ROUND VALLEY NR BISHOP CA,Stream,37.5540987,-118.6851253,NAD83
10265702,ROCK C AB DIV NR TOMS PLACE CA,Stream,37.54993206,-118.6865142,NAD83
10266000,ROCK C AT SHERWIN HILL N,Stream,37.4790981,-118.6023438,NAD83
10266200,PARADISE C NR PARADISE CAMP CA,Stream,37.4624312,-118.5773426,NAD83
10266500,ROCK C NR ROUND VALLEY CA,Stream,37.44020898,-118.571786,NAD83
10267000,PINE C A DIVISION BOX NR BISHOP CA,Stream,37.4163208,-118.6217864,NAD83
10267500,PINE C NR ROUND VALLEY CA,Stream,37.4360423,-118.570397,NAD83
10268000,OWENS R A PLEASANT VALLEY NR BISHOP CA,Stream,37.4165973,-118.5287287,NAD83
10268225,MCGEE C DIV NR BISHOP CA,Stream,37.27548809,-118.6201142,NAD83
10268227,MC GEE C BL DIV DAM NR BISHOP CA,Stream,37.27771055,-118.6312256,NAD83
10268282,BIRCH C BL DIV DAM NR BISHOP CA,Stream,37.27826567,-118.6120587,NAD83
10268630,BLIND C NR BENTON CA,Stream,37.8249324,-118.5126217,NAD83
10268700,SILVER CYN C NR LAWS CA,Stream,37.40770617,-118.2795494,NAD83
10270680,GREEN C COND OUTLET NR BISHOP CA,Stream,37.17048855,-118.5648314,NAD83
10270800,SF BISHOP C BL S LK NR BISHOP CA,Stream,37.17715504,-118.563165,NAD83
10270830,SF BISHOP C BL SF DIV DAM NR BISHOP CA,Stream,37.2407648,-118.56539,NAD83
10270872,MF BISHOP C BL LK SABRINA NR BISHOP CA,Stream,37.213822,-118.6103894,NAD83
10270877,MF BISHOP C BL INTAKE NO 2 RES NR BISHOP CA,Stream,37.2479873,-118.5823349,NAD83
