Creek,Watershed,Mean_NDVI,WY
EF NF American,American,0.8082000017,2000
Fulda,American,0.7578999996,2000
S Fk Silver,American,0.4740000069,2000
Onion,American,0.695299983,2000
Onion V,American,0.7915999889,2000
Traverse,American,0.4929000139,2000
CEDEN Monumental Creek,American,0.7178999782,2000
Lyons Cr,American,0.5487999916,2000
Jones Fork Silver Cr,American,0.6578000188,2000
American R (Middle Fork),American,0.695200026,2000
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.7821999788,2000
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.7178999782,2000
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.7190999985,2000
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5155000091,2000
BR 10 (headwaters),Bear,0.7053999901,2000
BR 22 (Steephollow),Bear,0.7281000018,2000
BR 55 (Dry Creek Spenceville),Bear,0.3328000009,2000
Above Jackrabbit Bridge,Burney Cr,0.6981999874,2000
Cat,Cosumnes,0.7602999806,2000
Cosumnes,Cosumnes,0.834800005,2000
Consumnes R (North Fork),Cosumnes,0.7287999988,2000
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.757799983,2000
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.5835000277,2000
Below Twin Bridges CG,Hat Cr,0.6571999788,2000
Above Moose Camp,Hatchet Cr,0.5173000097,2000
Below Lassen Cr C.G.,LassenCr,0.5921000242,2000
Nelson,MF Feather,0.7911000252,2000
EF Nelson,MF Feather,0.7304000258,2000
Cascade Cr,MF Feather,0.8210999966,2000
Sulfur Cr,MF Feather,0.5960999727,2000
Jameson Cr,MF Feather,0.7339000106,2000
Onion Valley Cr,MF Feather,0.8198000193,2000
Poplar Cr,MF Feather,0.6467000246,2000
Nelson Cr,MF Feather,0.783100009,2000
McCloud,McCloud,0.7286999822,2000
Moosehead,McCloud,0.8176000118,2000
OC 10 (Oregon Creek),Middle Yuba,0.7055000067,2000
Warner,NF Feather,0.6123999953,2000
Grassy Swale,NF Feather,0.7016999722,2000
Meadow Valley Cr,NF Feather,0.4948000014,2000
Spanish Cr,NF Feather,0.5942999721,2000
Wolf Cr,NF Feather,0.5838000178,2000
Butt Cr,NF Feather,0.592599988,2000
Feather R (North Fork),NF Feather,0.6740999818,2000
Below Jess Valley Bridge,Pit R (South Fork),0.3228000104,2000
Butte,Sacramento,0.7444000244,2000
Willow Butte,Sacramento,0.6922000051,2000
Deer Cr,Sacramento,0.7609999776,2000
Mill Cr,Sacramento,0.7303000093,2000
Martin Cr,Sacramento,0.617200017,2000
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.5892999768,2000
Clark Fork of Stanislaus R,Stanislaus,0.632700026,2000
Arnot Cr,Stanislaus,0.7052999735,2000
CEDEN Arnot Cr 1,Stanislaus,0.7601000071,2000
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.4889000058,2000
Jawbone Cr,Tuolumne,0.744599998,2000
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.7387999892,2000
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.7838000059,2000
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.7055000067,2000
Fall,Yuba,0.757799983,2000
Haypress,Yuba,0.7565000057,2000
Pauley,Yuba,0.7925000191,2000
North Yuba,Yuba,0.668900013,2000
Middle Yuba @Foote Xing,Yuba,0.7731999755,2000
Rock,Yuba,0.7616999745,2000
Shady,Yuba,0.7050999999,2000
CEDEN Oregon Creek,Yuba,0.7815999985,2000
Oregon Cr (actually appears to be Millers Creek),Yuba,0.7802000046,2000
Fall Cr,Yuba,0.8032000065,2000
CEDEN Oregon Creek 0.85 mi d/s Gale Cr.,Yuba,0.7815999985,2000
CEDEN Lincoln Creek,Yuba,0.6213999987,2000
CEDEN Slate Creek (USFS),Yuba,0.6995000243,2000
DC 10 (headwaters),Yuba/Deer,0.8166000247,2000
DC 20 (Willow Valley Rd),Yuba/Deer,0.7124999762,2000
DC 26 (Little Deer Creek),Yuba/Deer,0.657400012,2000
DC 40 (WWTP),Yuba/Deer,0.7529000044,2000
DC 80 (b4 LWW),Yuba/Deer,0.5985999703,2000
DC 116 (Squirrel b4 Deer),Yuba/Deer,0.5734999776,2000
DC 110 (Deer Creek Ranch),Yuba/Deer,0.5453000069,2000
EF NF American,American,0.7857000232,2001
Fulda,American,0.7293999791,2001
S Fk Silver,American,0.4492999911,2001
Onion,American,0.7174000144,2001
Onion V,American,0.8041999936,2001
Traverse,American,0.5073999763,2001
CEDEN Monumental Creek,American,0.6933000088,2001
Lyons Cr,American,0.5988000035,2001
Jones Fork Silver Cr,American,0.6402000189,2001
American R (Middle Fork),American,0.7436000109,2001
CEDEN Pilot Creek 0.7mi below Plum Cr.,American,0.7889999747,2001
CEDEN Monumental Creek ~2.1mi above EF NF of NF American R.,American,0.6933000088,2001
CEDEN Silver Fork American River at Silver Fork Rd.,American,0.6338000298,2001
CEDEN Cold Stream ~0.9mi below Rice Cyn. Cr.,American,0.5526000261,2001
BR 10 (headwaters),Bear,0.706799984,2001
BR 22 (Steephollow),Bear,0.6970000267,2001
BR 55 (Dry Creek Spenceville),Bear,0.2822000086,2001
Above Jackrabbit Bridge,Burney Cr,0.6306999922,2001
Cat,Cosumnes,0.7906000018,2001
Cosumnes,Cosumnes,0.7840999961,2001
Consumnes R (North Fork),Cosumnes,0.7254999876,2001
CEDEN Grizzly Creek above Grizzly Forebay,Feather,0.7641999722,2001
CEDEN Spanish Creek below Greenhorn Creek,Feather,0.6531999707,2001
Below Twin Bridges CG,Hat Cr,0.6881999969,2001
Above Moose Camp,Hatchet Cr,0.5626000166,2001
Below Lassen Cr C.G.,LassenCr,0.5483999848,2001
Nelson,MF Feather,0.8201000094,2001
EF Nelson,MF Feather,0.7202000022,2001
Cascade Cr,MF Feather,0.8542000055,2001
Sulfur Cr,MF Feather,0.5874999762,2001
Jameson Cr,MF Feather,0.7921000123,2001
Onion Valley Cr,MF Feather,0.837199986,2001
Poplar Cr,MF Feather,0.6506000161,2001
Nelson Cr,MF Feather,0.7289999723,2001
McCloud,McCloud,0.6963000298,2001
Moosehead,McCloud,0.8130999804,2001
OC 10 (Oregon Creek),Middle Yuba,0.7063000202,2001
Warner,NF Feather,0.648999989,2001
Grassy Swale,NF Feather,0.9401000142,2001
Meadow Valley Cr,NF Feather,0.5267000198,2001
Spanish Cr,NF Feather,0.5863999724,2001
Wolf Cr,NF Feather,0.6707999706,2001
Butt Cr,NF Feather,0.5292999744,2001
Feather R (North Fork),NF Feather,0.6503999829,2001
Below Jess Valley Bridge,Pit R (South Fork),0.336499989,2001
Butte,Sacramento,0.6755999923,2001
Willow Butte,Sacramento,0.7282000184,2001
Deer Cr,Sacramento,0.7675999999,2001
Mill Cr,Sacramento,0.6750000119,2001
Martin Cr,Sacramento,0.6886000037,2001
CEDEN Big Chico Creek ~1.6mi below Ponderosa Way,Sacramento,0.6528999805,2001
Clark Fork of Stanislaus R,Stanislaus,0.6453999877,2001
Arnot Cr,Stanislaus,0.6901999712,2001
CEDEN Arnot Cr 1,Stanislaus,0.7164000273,2001
CEDEN Coyote Creek Natural Bridges,Stanislaus,0.5134999752,2001
Jawbone Cr,Tuolumne,0.7378000021,2001
CEDEN Jawbone Creek ~0.9mi above Crane Cr.,Tuolumne,0.6690999866,2001
CEDEN Jawbone Creek ~1.8mi below Crane Cr.,Tuolumne,0.7504000068,2001
"CEDEN Tuolumne River, NF ~0.6mi below Basin Cr.",Tuolumne,0.6798999906,2001
Fall,Yuba,0.7749000192,2001
Haypress,Yuba,0.7694000006,2001
Pauley,Yuba,0.8481000066,2001
North Yuba,Yuba,0.6345000267,2001
Middle Yuba @Foote Xing,Yuba,0.780099988,2001
Rock,Yuba,0.8113999963,2001
Shady,Yuba,0.5343000293,2001
CEDEN Oregon Creek,Yuba,0.7702999711,2001
Oregon Cr (actually appears to be Millers Creek),Yuba,0.8162000179,2001
Fall Cr,Yuba,0.8357999921,2001
