Creek,Lat,Long
EF_NF_American,39.2505,-120.6488
Fulda,39.2863,-120.6752
S_Fk_Silver,38.8218,-120.2530
Onion,39.2748,-120.3618
Onion_V,39.2520,-120.6527
Traverse,38.8732,-120.8181
BR_10_headwaters,39.3089,-120.6674
BR_22_Steephollow,39.1801,-120.8957
Cat,38.5994,-120.3104
Cosumnes,38.5669,-120.4378
Deer_Creek,37.0068,-119.06392
Snow_Corral_Creek,37.0207,-119.07776
Pittman_Creek,37.1949,-119.20907
South_Fork_Tamarack,37.1494,-119.19
McCloud,41.2554,-121.8803
Moosehead,41.1929,-121.7925
OC_10_Oregon_Creek,39.4457,-121.0465
Warner,40.3643,-121.3067
Grassy_Swale,40.4696,-121.3990
Butte,40.1081,-121.4882
Willow_Butte,40.1191,-121.4735
Fall,39.3779,-120.6734
Haypress,39.5669,-120.6009
Pauley,39.5824,-120.8092
North_Yuba,39.5112,-120.9785
Middle_Yuba_Foote_Xing,39.4180,-120.9515
Rock,39.3010,-120.9287
Shady,39.3327,-121.0908
DC_10_headwaters,39.2957,-120.8865
DC_20_Willow_Valley_Rd,39.2679,-121.0020
DC_26_Little_Deer_Creek,39.2615,-121.0137
DC_40_WWTP,39.2604,-121.0320
DC_80_before_LWW,39.2390,-121.1872
DC_116_Squirrel_before_Deer,39.2290,-121.2423
DC_110_Deer_Creek_Ranch,39.2302,-121.2442
