"","WY","Date","SOI_avg5"
"1",2001,2001-01-01,1.12
"2",2002,2002-01-01,0.1
"3",2003,2003-01-01,-0.56
"4",2004,2004-01-01,-0.12
"5",2005,2005-01-01,-0.32
"6",2006,2006-01-01,0.62
"7",2007,2007-01-01,-0.58
"8",2008,2008-01-01,1.06
"9",2009,2009-01-01,1.26
"10",2010,2010-01-01,-0.66
"11",2011,2011-01-01,2.08
"12",2012,2012-01-01,1.3
"13",2013,2013-01-01,0.02
"14",2014,2014-01-01,0.48
"15",2015,2015-01-01,-0.72
"16",2016,2016-01-01,-1.32
"17",2017,2017-01-01,0.26
"18",2018,2018-01-01,0.68
"19",2019,2019-01-01,0.08
"20",2020,2020-01-01,-0.56
