"","Creek","Date","WY","ppt","t_max","t_min","t_avg","vpd_min","vpd_max"
"1","EF NF American",2000-01-01,2000,463.5650024,6.9380002,0.112,3.5250001,0.848,4.5650001
"2","EF NF American",2000-02-01,2000,591.8829956,6.8330002,-0.211,3.3110001,0.519,4.1220002
"3","EF NF American",2000-03-01,2000,126.6439972,10.7600002,1.1210001,5.9400001,1.47,7.9840002
"4","EF NF American",2000-04-01,2000,95.9629974,14.5229998,4.0020003,9.2620001,2.4070001,11.0299997
"5","EF NF American",2000-05-01,2000,105.6660004,17.7859993,7.3070002,12.5460005,3.0799999,13.5229998
"6","EF NF American",2000-06-01,2000,16.8700008,24.8069992,13.460001,19.1330013,7.349,22.3710003
"7","EF NF American",2000-07-01,2000,0,25.0869999,14.125001,19.6060009,8.4020004,23.8330002
"8","EF NF American",2000-08-01,2000,0,27.3619995,16.6070004,21.9840012,11.5039997,29.2059994
"9","EF NF American",2000-09-01,2000,44.3470001,22.4190006,11.2390003,16.8290005,6.2979999,19.9009991
"10","EF NF American",2000-10-01,2001,148.1470032,16.6499996,7.1250005,11.887001,4.2540002,14.1029997
"11","EF NF American",2000-11-01,2001,45.9070015,10.0240002,0.98,5.5020003,2.0020001,8.3979998
"12","EF NF American",2000-12-01,2001,102.026001,10.9729996,3.4140003,7.1930003,3.497,9.8599997
"13","EF NF American",2001-01-01,2001,148.2949982,8.4779997,0.259,4.368,2.9749999,8.5010004
"14","EF NF American",2001-02-01,2001,259.8720093,6.007,-1.7260001,2.1400001,1.2,5.6129999
"15","EF NF American",2001-03-01,2001,109.9580002,12.8950005,3.1840003,8.0390005,1.669,9.7480001
"16","EF NF American",2001-04-01,2001,156.8840027,10.8800001,0.9580001,5.9190001,1.506,8.9209995
"17","EF NF American",2001-05-01,2001,10.349,23.6700001,11.5880003,17.6290016,7.6950002,23.1509991
"18","EF NF American",2001-06-01,2001,7.408,24.0200005,12.1520004,18.0860004,7.901,23.6219997
"19","EF NF American",2001-07-01,2001,0,26.8649998,15.8480005,21.3560009,9.7119999,27.1350002
"20","EF NF American",2001-08-01,2001,0,28.5569992,16.9100018,22.7330017,12.0279999,32.0219994
"21","EF NF American",2001-09-01,2001,17.8619995,25.8500004,13.5010004,19.6750011,7.9460001,25.9060001
"22","EF NF American",2001-10-01,2002,48.3289986,21.6970005,10.5970001,16.1470013,7.882,21.1819992
"23","EF NF American",2001-11-01,2002,294.5509949,11.592,3.7060001,7.6490002,2.069,8.3620005
"24","EF NF American",2001-12-01,2002,509.6730042,5.632,-1.087,2.2720001,0.57,4.3249998
"25","EF NF American",2002-01-01,2002,180.6849976,7.237,-1.702,2.7670002,1.604,7.2449999
"26","EF NF American",2002-02-01,2002,136.9129944,11.4329996,1.5500001,6.4910002,2.6029999,10.0059996
"27","EF NF American",2002-03-01,2002,260.5140076,9.9329996,-0.337,4.7970004,2.1110001,8.9890003
"28","EF NF American",2002-04-01,2002,92.0830002,14.0979996,3.9800003,9.0380001,1.927,10.526
"29","EF NF American",2002-05-01,2002,67.9589996,17.3330002,6.4980001,11.9150009,3.661,13.9370003
"30","EF NF American",2002-06-01,2002,0,24.6389999,12.9130011,18.776001,7.4619999,22.5909996
"31","EF NF American",2002-07-01,2002,0,29.132,17.5340004,23.3330002,11.25,30.2029991
"32","EF NF American",2002-08-01,2002,0,27.8640003,16.2950001,22.0790005,10.934,29.3430004
"33","EF NF American",2002-09-01,2002,0.495,25.4790001,13.5690002,19.5240002,9.5959997,26.2479992
"34","EF NF American",2002-10-01,2003,0,19.677,7.5970006,13.637001,5.2579999,17.802
"35","EF NF American",2002-11-01,2003,258.2420044,14.4709997,5.2340002,9.8520002,4.3169999,11.9989996
"36","EF NF American",2002-12-01,2003,569.9749756,6.0809999,-0.419,2.8300002,1.016,4.6269999
"37","EF NF American",2003-01-01,2003,176.7460022,11.6700001,3.5290003,7.5990005,2.4460001,9.2709999
"38","EF NF American",2003-02-01,2003,99.560997,9.1599998,-0.103,4.5280004,1.557,7.4959998
"39","EF NF American",2003-03-01,2003,197.3419952,10.2849998,1.016,5.6500001,1.153,7.447
"40","EF NF American",2003-04-01,2003,366.6289978,7.302,-0.425,3.4380002,0.602,4.862
"41","EF NF American",2003-05-01,2003,81.2799988,17.5060005,7.2870002,12.3960009,4.0560002,15.0539999
"42","EF NF American",2003-06-01,2003,0,25.1089993,13.6260004,19.3670006,6.7329998,23.2560005
"43","EF NF American",2003-07-01,2003,0,29.6369991,18.4540005,24.045002,12.6560001,31.9880009
"44","EF NF American",2003-08-01,2003,39.7709999,25.6959991,15.2440004,20.4690018,7.4569998,23.0709991
"45","EF NF American",2003-09-01,2003,5.994,26.9179993,15.6960011,21.3070011,11.1630001,31.1539993
"46","EF NF American",2003-10-01,2004,4.8600001,23.3850002,11.9460001,17.6650009,9.0270004,23.5750008
"47","EF NF American",2003-11-01,2004,142.6880035,8.3369999,0.629,4.4820004,1.515,6.7290001
"48","EF NF American",2003-12-01,2004,541.0809937,6.1069999,-0.451,2.8270001,0.903,4.8850002
"49","EF NF American",2004-01-01,2004,180.7259979,7.329,-0.573,3.3770001,1.257,6.1760001
"50","EF NF American",2004-02-01,2004,364.9779968,5.7670002,-1.8240001,1.9710001,0.643,4.6919999
"51","EF NF American",2004-03-01,2004,47.5139999,16.4459991,5.5540004,10.9990005,3.681,14.5190001
"52","EF NF American",2004-04-01,2004,52.0079994,15.0469999,4.1750002,9.6110001,3.404,12.4090004
"53","EF NF American",2004-05-01,2004,31.7269993,18.2609997,7.0130005,12.637001,3.4960001,14.4779997
"54","EF NF American",2004-06-01,2004,0.619,24.4050007,12.960001,18.6820011,7.2160001,22.4880009
"55","EF NF American",2004-07-01,2004,0,27.6650009,16.4000015,22.0320015,9.9130001,28.1529999
